Dataset,Fold,Classifier,Resampler,Metric,Score
winequality-white-3-9_vs_5,0,KNN,PAU,AUC,0.5433813443072703
winequality-white-3-9_vs_5,0,KNN,PAU,G-mean,0.4573736679714248
winequality-white-3-9_vs_5,0,SVM,PAU,Precision,0.06722689075630252
winequality-white-3-9_vs_5,0,SVM,PAU,Recall,0.6666666666666666
winequality-white-3-9_vs_5,0,SVM,PAU,AUC,0.7572016460905349
winequality-white-3-9_vs_5,0,SVM,PAU,G-mean,0.7517697455623866
winequality-white-3-9_vs_5,0,MLP,PAU,Precision,0.02525252525252525
winequality-white-3-9_vs_5,0,MLP,PAU,Recall,0.4166666666666667
winequality-white-3-9_vs_5,0,MLP,PAU,AUC,0.5759602194787381
winequality-white-3-9_vs_5,0,MLP,PAU,G-mean,0.5534941178138246
poker-8-9_vs_5,9,CART,PAO,Precision,0.125
poker-8-9_vs_5,9,CART,PAO,Recall,0.16666666666666666
poker-8-9_vs_5,9,CART,PAO,AUC,0.5765040650406504
poker-8-9_vs_5,9,CART,PAO,G-mean,0.4054506676556829
poker-8-9_vs_5,9,KNN,PAO,Precision,0.037037037037037035
poker-8-9_vs_5,9,KNN,PAO,Recall,0.08333333333333333
poker-8-9_vs_5,9,KNN,PAO,AUC,0.5289837398373983
poker-8-9_vs_5,9,KNN,PAO,G-mean,0.2849903721095187
poker-8-9_vs_5,9,SVM,PAO,Precision,0.021739130434782608
poker-8-9_vs_5,9,SVM,PAO,Recall,0.08333333333333333
poker-8-9_vs_5,9,SVM,PAO,AUC,0.5197154471544715
poker-8-9_vs_5,9,SVM,PAO,G-mean,0.2822672434909291
poker-8-9_vs_5,9,MLP,PAO,Precision,0.03225806451612903
poker-8-9_vs_5,9,MLP,PAO,Recall,0.08333333333333333
poker-8-9_vs_5,9,MLP,PAO,AUC,0.5270325203252032
poker-8-9_vs_5,9,MLP,PAO,G-mean,0.28441924854532863
yeast-1-4-5-8_vs_7,9,CART,RBO,Precision,0.125
yeast-1-4-5-8_vs_7,9,CART,RBO,Recall,0.13333333333333333
yeast-1-4-5-8_vs_7,9,CART,RBO,AUC,0.5455186304128902
yeast-1-4-5-8_vs_7,9,CART,RBO,G-mean,0.3573427724174549
yeast-1-4-5-8_vs_7,9,KNN,RBO,Precision,0.1282051282051282
yeast-1-4-5-8_vs_7,9,KNN,RBO,Recall,0.3333333333333333
yeast-1-4-5-8_vs_7,9,KNN,RBO,AUC,0.6153071500503524
yeast-1-4-5-8_vs_7,9,KNN,RBO,G-mean,0.546894556188964
yeast-1-4-5-8_vs_7,9,SVM,RBO,Precision,0.1111111111111111
yeast-1-4-5-8_vs_7,9,SVM,RBO,Recall,0.4
yeast-1-4-5-8_vs_7,9,SVM,RBO,AUC,0.6274924471299093
yeast-1-4-5-8_vs_7,9,SVM,RBO,G-mean,0.5848024946115804
yeast-1-4-5-8_vs_7,9,MLP,RBO,Precision,0.05263157894736842
yeast-1-4-5-8_vs_7,9,MLP,RBO,Recall,0.13333333333333333
yeast-1-4-5-8_vs_7,9,MLP,RBO,AUC,0.5122860020140987
yeast-1-4-5-8_vs_7,9,MLP,RBO,G-mean,0.3447199192958179
yeast-1-2-8-9_vs_7,4,CART,PAU,Precision,0.032119914346895075
yeast-1-2-8-9_vs_7,4,CART,PAU,Recall,1.0
yeast-1-2-8-9_vs_7,4,CART,PAU,AUC,0.5076252723311547
yeast-1-2-8-9_vs_7,4,CART,PAU,G-mean,0.12349309560582472
yeast-1-2-8-9_vs_7,4,KNN,PAU,Precision,0.061904761904761914
yeast-1-2-8-9_vs_7,4,KNN,PAU,Recall,0.8666666666666667
yeast-1-2-8-9_vs_7,4,KNN,PAU,AUC,0.7187363834422658
yeast-1-2-8-9_vs_7,4,KNN,PAU,G-mean,0.7033481500571508
yeast-1-2-8-9_vs_7,4,SVM,PAU,Precision,0.060869565217391314
yeast-1-2-8-9_vs_7,4,SVM,PAU,Recall,0.9333333333333332
yeast-1-2-8-9_vs_7,4,SVM,PAU,AUC,0.7313725490196078
yeast-1-2-8-9_vs_7,4,SVM,PAU,G-mean,0.7029350233548073
yeast-1-2-8-9_vs_7,4,MLP,PAU,Precision,0.059829059829059825
yeast-1-2-8-9_vs_7,4,MLP,PAU,Recall,0.9333333333333332
yeast-1-2-8-9_vs_7,4,MLP,PAU,AUC,0.7270152505446623
yeast-1-2-8-9_vs_7,4,MLP,PAU,G-mean,0.69712554338435
glass0,3,CART,PAO,Precision,0.5789473684210527
glass0,3,CART,PAO,Recall,0.6285714285714286
glass0,3,CART,PAO,AUC,0.7031746031746031
glass0,3,CART,PAO,G-mean,0.6992058987801011
glass0,3,KNN,PAO,Precision,0.5744680851063829
glass0,3,KNN,PAO,Recall,0.7714285714285715
glass0,3,KNN,PAO,AUC,0.7468253968253968
glass0,3,KNN,PAO,G-mean,0.7464200272921789
glass0,3,SVM,PAO,Precision,0.62
glass0,3,SVM,PAO,Recall,0.8857142857142857
glass0,3,SVM,PAO,AUC,0.8109126984126985
glass0,3,SVM,PAO,G-mean,0.8074553405508734
glass0,3,MLP,PAO,Precision,0.62
glass0,3,MLP,PAO,Recall,0.8857142857142857
glass0,3,MLP,PAO,AUC,0.8109126984126985
glass0,3,MLP,PAO,G-mean,0.8074553405508734
yeast-0-5-6-7-9_vs_4,7,CART,RBO,Precision,0.3333333333333333
yeast-0-5-6-7-9_vs_4,7,CART,RBO,Recall,0.3076923076923077
yeast-0-5-6-7-9_vs_4,7,CART,RBO,AUC,0.6202327084680026
yeast-0-5-6-7-9_vs_4,7,CART,RBO,G-mean,0.5357304457808257
yeast-0-5-6-7-9_vs_4,7,KNN,RBO,Precision,0.372093023255814
yeast-0-5-6-7-9_vs_4,7,KNN,RBO,Recall,0.6153846153846154
yeast-0-5-6-7-9_vs_4,7,KNN,RBO,AUC,0.7509696186166774
yeast-0-5-6-7-9_vs_4,7,KNN,RBO,G-mean,0.7386285094577921
yeast-0-5-6-7-9_vs_4,7,SVM,RBO,Precision,0.3469387755102041
yeast-0-5-6-7-9_vs_4,7,SVM,RBO,Recall,0.6538461538461539
yeast-0-5-6-7-9_vs_4,7,SVM,RBO,AUC,0.7596961861667744
yeast-0-5-6-7-9_vs_4,7,SVM,RBO,G-mean,0.7522858937492222
yeast-0-5-6-7-9_vs_4,7,MLP,RBO,Precision,0.35294117647058826
yeast-0-5-6-7-9_vs_4,7,MLP,RBO,Recall,0.6923076923076923
yeast-0-5-6-7-9_vs_4,7,MLP,RBO,AUC,0.7768261150614093
yeast-0-5-6-7-9_vs_4,7,MLP,RBO,G-mean,0.7722146393695379
abalone-21_vs_8,3,CART,PAO,Precision,0.3636363636363637
abalone-21_vs_8,3,CART,PAO,Recall,0.5714285714285714
abalone-21_vs_8,3,CART,PAO,AUC,0.7733467945482081
abalone-21_vs_8,3,CART,PAO,G-mean,0.7465214637304121
abalone-21_vs_8,3,KNN,PAO,Precision,0.4444444444444444
abalone-21_vs_8,3,KNN,PAO,Recall,0.5714285714285714
abalone-21_vs_8,3,KNN,PAO,AUC,0.7768803634528015
abalone-21_vs_8,3,KNN,PAO,G-mean,0.7492213693379208
abalone-21_vs_8,3,SVM,PAO,Precision,0.5
abalone-21_vs_8,3,SVM,PAO,Recall,0.7142857142857143
abalone-21_vs_8,3,SVM,PAO,AUC,0.8483089348813732
abalone-21_vs_8,3,SVM,PAO,G-mean,0.8376549560175341
abalone-21_vs_8,3,MLP,PAO,Precision,0.4166666666666667
abalone-21_vs_8,3,MLP,PAO,Recall,0.7142857142857143
abalone-21_vs_8,3,MLP,PAO,AUC,0.8447753659767795
abalone-21_vs_8,3,MLP,PAO,G-mean,0.8346363697819226
kddcup-rootkit-imap_vs_back,4,CART,PAU,Precision,0.4666666666666667
kddcup-rootkit-imap_vs_back,4,CART,PAU,Recall,0.6363636363636364
kddcup-rootkit-imap_vs_back,4,CART,PAU,AUC,0.8145520541164823
kddcup-rootkit-imap_vs_back,4,CART,PAU,G-mean,0.7948232109369467
kddcup-rootkit-imap_vs_back,4,KNN,PAU,Precision,1.0
kddcup-rootkit-imap_vs_back,4,KNN,PAU,Recall,0.7272727272727273
kddcup-rootkit-imap_vs_back,4,KNN,PAU,AUC,0.8636363636363636
kddcup-rootkit-imap_vs_back,4,KNN,PAU,G-mean,0.8528028654224418
kddcup-rootkit-imap_vs_back,4,SVM,PAU,Precision,0.7142857142857143
kddcup-rootkit-imap_vs_back,4,SVM,PAU,Recall,0.9090909090909092
kddcup-rootkit-imap_vs_back,4,SVM,PAU,AUC,0.9527305725127868
kddcup-rootkit-imap_vs_back,4,SVM,PAU,G-mean,0.9517305940112294
kddcup-rootkit-imap_vs_back,4,MLP,PAU,Precision,0.2195121951219512
kddcup-rootkit-imap_vs_back,4,MLP,PAU,Recall,0.8181818181818182
kddcup-rootkit-imap_vs_back,4,MLP,PAU,AUC,0.8945718528295661
kddcup-rootkit-imap_vs_back,4,MLP,PAU,G-mean,0.8913043040855568
abalone-17_vs_7-8-9-10,0,CART,RBU,Precision,0.07220216606498195
abalone-17_vs_7-8-9-10,0,CART,RBU,Recall,0.6896551724137931
abalone-17_vs_7-8-9-10,0,CART,RBU,AUC,0.7321082879612826
abalone-17_vs_7-8-9-10,0,CART,RBU,G-mean,0.7308763768804624
abalone-17_vs_7-8-9-10,0,KNN,RBU,Precision,0.06397306397306397
abalone-17_vs_7-8-9-10,0,KNN,RBU,Recall,0.6551724137931034
abalone-17_vs_7-8-9-10,0,KNN,RBU,AUC,0.7056563823351483
abalone-17_vs_7-8-9-10,0,KNN,RBU,G-mean,0.703848207251091
abalone-17_vs_7-8-9-10,0,SVM,RBU,Precision,0.05590062111801242
abalone-17_vs_7-8-9-10,0,SVM,RBU,Recall,0.6206896551724138
abalone-17_vs_7-8-9-10,0,SVM,RBU,AUC,0.6770114942528735
abalone-17_vs_7-8-9-10,0,SVM,RBU,G-mean,0.6746646676632054
abalone-17_vs_7-8-9-10,0,MLP,RBU,Precision,0.0823045267489712
abalone-17_vs_7-8-9-10,0,MLP,RBU,Recall,0.6896551724137931
abalone-17_vs_7-8-9-10,0,MLP,RBU,AUC,0.7470205686630369
abalone-17_vs_7-8-9-10,0,MLP,RBU,G-mean,0.7448147026736343
winequality-red-4,2,CART,PAU,Precision,0.049180327868852465
winequality-red-4,2,CART,PAU,Recall,0.3333333333333333
winequality-red-4,2,CART,PAU,AUC,0.5541181543768865
winequality-red-4,2,CART,PAU,G-mean,0.5082332061237373
winequality-red-4,2,KNN,PAU,Precision,0.06422018348623854
winequality-red-4,2,KNN,PAU,Recall,0.5185185185185185
winequality-red-4,2,KNN,PAU,AUC,0.6273058310574482
winequality-red-4,2,KNN,PAU,G-mean,0.6178008791748624
winequality-red-4,2,SVM,PAU,Precision,0.06177606177606178
winequality-red-4,2,SVM,PAU,Recall,0.5925925925925926
winequality-red-4,2,SVM,PAU,AUC,0.6391164774088448
winequality-red-4,2,SVM,PAU,G-mean,0.6374208969253319
winequality-red-4,2,MLP,PAU,Precision,0.07909604519774012
winequality-red-4,2,MLP,PAU,Recall,0.5185185185185185
winequality-red-4,2,MLP,PAU,AUC,0.6538258828038905
winequality-red-4,2,MLP,PAU,G-mean,0.6396719488882034
page-blocks0,8,CART,PAO,Precision,0.7959866220735786
page-blocks0,8,CART,PAO,Recall,0.8530465949820788
page-blocks0,8,CART,PAO,AUC,0.9141097850775268
page-blocks0,8,CART,PAO,G-mean,0.9120679722421184
page-blocks0,8,KNN,PAO,Precision,0.8175438596491228
page-blocks0,8,KNN,PAO,Recall,0.8351254480286738
page-blocks0,8,KNN,PAO,AUC,0.9069807134323264
page-blocks0,8,KNN,PAO,G-mean,0.9041298774910508
page-blocks0,8,SVM,PAO,Precision,0.6408268733850129
page-blocks0,8,SVM,PAO,Recall,0.8888888888888888
page-blocks0,8,SVM,PAO,AUC,0.9161579161579162
page-blocks0,8,SVM,PAO,G-mean,0.9157520010846912
page-blocks0,8,MLP,PAO,Precision,0.8263888888888888
page-blocks0,8,MLP,PAO,Recall,0.8530465949820788
page-blocks0,8,MLP,PAO,AUC,0.9163482873160292
page-blocks0,8,MLP,PAO,G-mean,0.914159219947312
winequality-white-9_vs_4,4,CART,PAU,Precision,0.05
winequality-white-9_vs_4,4,CART,PAU,Recall,1.0
winequality-white-9_vs_4,4,CART,PAU,AUC,0.7682926829268293
winequality-white-9_vs_4,4,CART,PAU,G-mean,0.7325198740332296
winequality-white-9_vs_4,4,KNN,PAU,Precision,0.028169014084507043
winequality-white-9_vs_4,4,KNN,PAU,Recall,1.0
winequality-white-9_vs_4,4,KNN,PAU,AUC,0.5792682926829269
winequality-white-9_vs_4,4,KNN,PAU,G-mean,0.39816652969059774
winequality-white-9_vs_4,4,SVM,PAU,Precision,0.028571428571428567
winequality-white-9_vs_4,4,SVM,PAU,Recall,1.0
winequality-white-9_vs_4,4,SVM,PAU,AUC,0.5853658536585367
winequality-white-9_vs_4,4,SVM,PAU,G-mean,0.4131969352706687
winequality-white-9_vs_4,4,MLP,PAU,Precision,0.05263157894736842
winequality-white-9_vs_4,4,MLP,PAU,Recall,1.0
winequality-white-9_vs_4,4,MLP,PAU,AUC,0.7804878048780488
winequality-white-9_vs_4,4,MLP,PAU,G-mean,0.7489830503797116
ecoli-0-6-7_vs_5,0,CART,PAU,Precision,0.2647058823529412
ecoli-0-6-7_vs_5,0,CART,PAU,Recall,0.9
ecoli-0-6-7_vs_5,0,CART,PAU,AUC,0.825
ecoli-0-6-7_vs_5,0,CART,PAU,G-mean,0.8215838362577492
ecoli-0-6-7_vs_5,0,KNN,PAU,Precision,0.6
ecoli-0-6-7_vs_5,0,KNN,PAU,Recall,0.9
ecoli-0-6-7_vs_5,0,KNN,PAU,AUC,0.92
ecoli-0-6-7_vs_5,0,KNN,PAU,G-mean,0.9197825830053534
ecoli-0-6-7_vs_5,0,SVM,PAU,Precision,0.5
ecoli-0-6-7_vs_5,0,SVM,PAU,Recall,0.9
ecoli-0-6-7_vs_5,0,SVM,PAU,AUC,0.905
ecoli-0-6-7_vs_5,0,SVM,PAU,G-mean,0.9049861877399014
ecoli-0-6-7_vs_5,0,MLP,PAU,Precision,0.45
ecoli-0-6-7_vs_5,0,MLP,PAU,Recall,0.9
ecoli-0-6-7_vs_5,0,MLP,PAU,AUC,0.8949999999999999
ecoli-0-6-7_vs_5,0,MLP,PAU,G-mean,0.8949860334105779
poker-8-9_vs_6,8,CART,PAO,Precision,1.0
poker-8-9_vs_6,8,CART,PAO,Recall,1.0
poker-8-9_vs_6,8,CART,PAO,AUC,1.0
poker-8-9_vs_6,8,CART,PAO,G-mean,1.0
poker-8-9_vs_6,8,KNN,PAO,Precision,0.24390243902439024
poker-8-9_vs_6,8,KNN,PAO,Recall,0.7692307692307693
poker-8-9_vs_6,8,KNN,PAO,AUC,0.8633825079030558
poker-8-9_vs_6,8,KNN,PAO,G-mean,0.8582335375979873
poker-8-9_vs_6,8,SVM,PAO,Precision,0.8888888888888888
poker-8-9_vs_6,8,SVM,PAO,Recall,0.6153846153846154
poker-8-9_vs_6,8,SVM,PAO,AUC,0.8070073761854584
poker-8-9_vs_6,8,SVM,PAO,G-mean,0.7839270519383809
poker-8-9_vs_6,8,MLP,PAO,Precision,0.7142857142857143
poker-8-9_vs_6,8,MLP,PAO,Recall,0.7692307692307693
poker-8-9_vs_6,8,MLP,PAO,AUC,0.8818756585879873
poker-8-9_vs_6,8,MLP,PAO,G-mean,0.8746518199327642
kddcup-rootkit-imap_vs_back,3,CART,PAO,Precision,1.0
kddcup-rootkit-imap_vs_back,3,CART,PAO,Recall,1.0
kddcup-rootkit-imap_vs_back,3,CART,PAO,AUC,1.0
kddcup-rootkit-imap_vs_back,3,CART,PAO,G-mean,1.0
kddcup-rootkit-imap_vs_back,3,KNN,PAO,Precision,1.0
kddcup-rootkit-imap_vs_back,3,KNN,PAO,Recall,0.8181818181818182
kddcup-rootkit-imap_vs_back,3,KNN,PAO,AUC,0.9090909090909092
kddcup-rootkit-imap_vs_back,3,KNN,PAO,G-mean,0.9045340337332908
kddcup-rootkit-imap_vs_back,3,SVM,PAO,Precision,1.0
kddcup-rootkit-imap_vs_back,3,SVM,PAO,Recall,0.9090909090909092
kddcup-rootkit-imap_vs_back,3,SVM,PAO,AUC,0.9545454545454546
kddcup-rootkit-imap_vs_back,3,SVM,PAO,G-mean,0.9534625892455924
kddcup-rootkit-imap_vs_back,3,MLP,PAO,Precision,1.0
kddcup-rootkit-imap_vs_back,3,MLP,PAO,Recall,0.7272727272727273
kddcup-rootkit-imap_vs_back,3,MLP,PAO,AUC,0.8636363636363636
kddcup-rootkit-imap_vs_back,3,MLP,PAO,G-mean,0.8528028654224418
yeast-1_vs_7,1,CART,PAU,Precision,0.06637168141592921
yeast-1_vs_7,1,CART,PAU,Recall,1.0
yeast-1_vs_7,1,CART,PAU,AUC,0.5070093457943925
yeast-1_vs_7,1,CART,PAU,G-mean,0.11840055569457875
yeast-1_vs_7,1,KNN,PAU,Precision,0.1076923076923077
yeast-1_vs_7,1,KNN,PAU,Recall,0.9333333333333332
yeast-1_vs_7,1,KNN,PAU,AUC,0.6956386292834891
yeast-1_vs_7,1,KNN,PAU,G-mean,0.6537693249289603
yeast-1_vs_7,1,SVM,PAU,Precision,0.14444444444444446
yeast-1_vs_7,1,SVM,PAU,Recall,0.8666666666666667
yeast-1_vs_7,1,SVM,PAU,AUC,0.7534267912772585
yeast-1_vs_7,1,SVM,PAU,G-mean,0.744868216825055
yeast-1_vs_7,1,MLP,PAU,Precision,0.14736842105263154
yeast-1_vs_7,1,MLP,PAU,Recall,0.9333333333333332
yeast-1_vs_7,1,MLP,PAU,AUC,0.7774143302180686
yeast-1_vs_7,1,MLP,PAU,G-mean,0.7616182149187021
yeast-2_vs_8,9,CART,PAU,Precision,0.05755395683453238
yeast-2_vs_8,9,CART,PAU,Recall,0.8
yeast-2_vs_8,9,CART,PAU,AUC,0.6164502164502165
yeast-2_vs_8,9,CART,PAU,G-mean,0.5884898863364997
yeast-2_vs_8,9,KNN,PAU,Precision,0.4166666666666667
yeast-2_vs_8,9,KNN,PAU,Recall,0.5
yeast-2_vs_8,9,KNN,PAU,AUC,0.7348484848484849
yeast-2_vs_8,9,KNN,PAU,G-mean,0.6963106238227914
yeast-2_vs_8,9,SVM,PAU,Precision,0.38461538461538464
yeast-2_vs_8,9,SVM,PAU,Recall,0.5
yeast-2_vs_8,9,SVM,PAU,AUC,0.7326839826839827
yeast-2_vs_8,9,SVM,PAU,G-mean,0.6947546204840833
yeast-2_vs_8,9,MLP,PAU,Precision,0.08823529411764706
yeast-2_vs_8,9,MLP,PAU,Recall,0.6
yeast-2_vs_8,9,MLP,PAU,AUC,0.6658008658008658
yeast-2_vs_8,9,MLP,PAU,G-mean,0.6625413488689131
ecoli-0-2-6-7_vs_3-5,1,CART,RBO,Precision,0.7
ecoli-0-2-6-7_vs_3-5,1,CART,RBO,Recall,0.6363636363636364
ecoli-0-2-6-7_vs_3-5,1,CART,RBO,AUC,0.8033303330333033
ecoli-0-2-6-7_vs_3-5,1,CART,RBO,G-mean,0.7857873415718896
ecoli-0-2-6-7_vs_3-5,1,KNN,RBO,Precision,0.5882352941176471
ecoli-0-2-6-7_vs_3-5,1,KNN,RBO,Recall,0.9090909090909092
ecoli-0-2-6-7_vs_3-5,1,KNN,RBO,AUC,0.91989198919892
ecoli-0-2-6-7_vs_3-5,1,KNN,RBO,G-mean,0.919828575583976
ecoli-0-2-6-7_vs_3-5,1,SVM,RBO,Precision,0.39130434782608703
ecoli-0-2-6-7_vs_3-5,1,SVM,RBO,Recall,0.8181818181818182
ecoli-0-2-6-7_vs_3-5,1,SVM,RBO,AUC,0.8397839783978398
ecoli-0-2-6-7_vs_3-5,1,SVM,RBO,G-mean,0.839506091131985
ecoli-0-2-6-7_vs_3-5,1,MLP,RBO,Precision,0.43478260869565216
ecoli-0-2-6-7_vs_3-5,1,MLP,RBO,Recall,0.9090909090909092
ecoli-0-2-6-7_vs_3-5,1,MLP,RBO,AUC,0.8901890189018903
ecoli-0-2-6-7_vs_3-5,1,MLP,RBO,G-mean,0.8899883189799696
yeast-1_vs_7,3,CART,RBU,Precision,0.0375
yeast-1_vs_7,3,CART,RBU,Recall,0.2
yeast-1_vs_7,3,CART,RBU,AUC,0.4200934579439252
yeast-1_vs_7,3,CART,RBU,G-mean,0.3578231171648502
yeast-1_vs_7,3,KNN,RBU,Precision,0.08247422680412371
yeast-1_vs_7,3,KNN,RBU,Recall,0.5333333333333333
yeast-1_vs_7,3,KNN,RBU,AUC,0.5587227414330218
yeast-1_vs_7,3,KNN,RBU,G-mean,0.5581455721859476
yeast-1_vs_7,3,SVM,RBU,Precision,0.13829787234042554
yeast-1_vs_7,3,SVM,RBU,Recall,0.8666666666666667
yeast-1_vs_7,3,SVM,RBU,AUC,0.7440809968847352
yeast-1_vs_7,3,SVM,RBU,G-mean,0.7339136757746763
yeast-1_vs_7,3,MLP,RBU,Precision,0.1263157894736842
yeast-1_vs_7,3,MLP,RBU,Recall,0.8
yeast-1_vs_7,3,MLP,RBU,AUC,0.7060747663551402
yeast-1_vs_7,3,MLP,RBU,G-mean,0.6997997043213324
yeast-2_vs_8,9,CART,PAO,Precision,0.7142857142857143
yeast-2_vs_8,9,CART,PAO,Recall,0.5
yeast-2_vs_8,9,CART,PAO,AUC,0.7456709956709956
yeast-2_vs_8,9,CART,PAO,G-mean,0.7040390583419329
yeast-2_vs_8,9,KNN,PAO,Precision,0.5
yeast-2_vs_8,9,KNN,PAO,Recall,0.5
yeast-2_vs_8,9,KNN,PAO,AUC,0.7391774891774892
yeast-2_vs_8,9,KNN,PAO,G-mean,0.6994122455158254
yeast-2_vs_8,9,SVM,PAO,Precision,0.6666666666666666
yeast-2_vs_8,9,SVM,PAO,Recall,0.4
yeast-2_vs_8,9,SVM,PAO,AUC,0.6956709956709956
yeast-2_vs_8,9,SVM,PAO,G-mean,0.629711677307001
yeast-2_vs_8,9,MLP,PAO,Precision,0.4
yeast-2_vs_8,9,MLP,PAO,Recall,0.4
yeast-2_vs_8,9,MLP,PAO,AUC,0.687012987012987
yeast-2_vs_8,9,MLP,PAO,G-mean,0.6241877839323593
yeast-0-3-5-9_vs_7-8,2,CART,RBU,Precision,0.1011904761904762
yeast-0-3-5-9_vs_7-8,2,CART,RBU,Recall,0.68
yeast-0-3-5-9_vs_7-8,2,CART,RBU,AUC,0.5088596491228071
yeast-0-3-5-9_vs_7-8,2,CART,RBU,G-mean,0.4792171979457932
yeast-0-3-5-9_vs_7-8,2,KNN,RBU,Precision,0.12666666666666668
yeast-0-3-5-9_vs_7-8,2,KNN,RBU,Recall,0.76
yeast-0-3-5-9_vs_7-8,2,KNN,RBU,AUC,0.5927192982456141
yeast-0-3-5-9_vs_7-8,2,KNN,RBU,G-mean,0.5686240703077327
yeast-0-3-5-9_vs_7-8,2,SVM,RBU,Precision,0.12962962962962962
yeast-0-3-5-9_vs_7-8,2,SVM,RBU,Recall,0.84
yeast-0-3-5-9_vs_7-8,2,SVM,RBU,AUC,0.6107894736842104
yeast-0-3-5-9_vs_7-8,2,SVM,RBU,G-mean,0.566150435652463
yeast-0-3-5-9_vs_7-8,2,MLP,RBU,Precision,0.12650602409638553
yeast-0-3-5-9_vs_7-8,2,MLP,RBU,Recall,0.84
yeast-0-3-5-9_vs_7-8,2,MLP,RBU,AUC,0.6020175438596491
yeast-0-3-5-9_vs_7-8,2,MLP,RBU,G-mean,0.5529823448214333
kddcup-buffer_overflow_vs_back,2,CART,RBU,Precision,0.7142857142857143
kddcup-buffer_overflow_vs_back,2,CART,RBU,Recall,1.0
kddcup-buffer_overflow_vs_back,2,CART,RBU,AUC,0.997277676950998
kddcup-buffer_overflow_vs_back,2,CART,RBU,G-mean,0.9972739613075218
kddcup-buffer_overflow_vs_back,2,KNN,RBU,Precision,1.0
kddcup-buffer_overflow_vs_back,2,KNN,RBU,Recall,0.8
kddcup-buffer_overflow_vs_back,2,KNN,RBU,AUC,0.9
kddcup-buffer_overflow_vs_back,2,KNN,RBU,G-mean,0.8944271909999159
kddcup-buffer_overflow_vs_back,2,SVM,RBU,Precision,0.5769230769230769
kddcup-buffer_overflow_vs_back,2,SVM,RBU,Recall,1.0
kddcup-buffer_overflow_vs_back,2,SVM,RBU,AUC,0.9950090744101634
kddcup-buffer_overflow_vs_back,2,SVM,RBU,G-mean,0.9949965571901878
kddcup-buffer_overflow_vs_back,2,MLP,RBU,Precision,0.13636363636363635
kddcup-buffer_overflow_vs_back,2,MLP,RBU,Recall,1.0
kddcup-buffer_overflow_vs_back,2,MLP,RBU,AUC,0.956896551724138
kddcup-buffer_overflow_vs_back,2,MLP,RBU,G-mean,0.9559252603882146
yeast-0-5-6-7-9_vs_4,0,CART,RBO,Precision,0.4
yeast-0-5-6-7-9_vs_4,0,CART,RBO,Recall,0.4
yeast-0-5-6-7-9_vs_4,0,CART,RBO,AUC,0.6686192468619246
yeast-0-5-6-7-9_vs_4,0,CART,RBO,G-mean,0.6122870221469174
yeast-0-5-6-7-9_vs_4,0,KNN,RBO,Precision,0.4615384615384616
yeast-0-5-6-7-9_vs_4,0,KNN,RBO,Recall,0.72
yeast-0-5-6-7-9_vs_4,0,KNN,RBO,AUC,0.8160669456066946
yeast-0-5-6-7-9_vs_4,0,KNN,RBO,G-mean,0.8103927453239201
yeast-0-5-6-7-9_vs_4,0,SVM,RBO,Precision,0.3809523809523809
yeast-0-5-6-7-9_vs_4,0,SVM,RBO,Recall,0.64
yeast-0-5-6-7-9_vs_4,0,SVM,RBO,AUC,0.7656066945606695
yeast-0-5-6-7-9_vs_4,0,SVM,RBO,G-mean,0.7552327912886575
yeast-0-5-6-7-9_vs_4,0,MLP,RBO,Precision,0.4722222222222222
yeast-0-5-6-7-9_vs_4,0,MLP,RBO,Recall,0.68
yeast-0-5-6-7-9_vs_4,0,MLP,RBO,AUC,0.8002510460251047
yeast-0-5-6-7-9_vs_4,0,MLP,RBO,G-mean,0.7911645989262552
page-blocks0,3,CART,PAU,Precision,0.4990512333965844
page-blocks0,3,CART,PAU,Recall,0.9392857142857144
page-blocks0,3,CART,PAU,AUC,0.9158969288040948
page-blocks0,3,CART,PAU,G-mean,0.915598246452268
page-blocks0,3,KNN,PAU,Precision,0.6470588235294118
page-blocks0,3,KNN,PAU,Recall,0.9428571428571428
page-blocks0,3,KNN,PAU,AUC,0.9421126105165192
page-blocks0,3,KNN,PAU,G-mean,0.9421123163221276
page-blocks0,3,SVM,PAU,Precision,0.6639784946236559
page-blocks0,3,SVM,PAU,Recall,0.8821428571428571
page-blocks0,3,SVM,PAU,AUC,0.9156235458352724
page-blocks0,3,SVM,PAU,G-mean,0.9150112136868259
page-blocks0,3,MLP,PAU,Precision,0.648910411622276
page-blocks0,3,MLP,PAU,Recall,0.9571428571428572
page-blocks0,3,MLP,PAU,AUC,0.9490518845974872
page-blocks0,3,MLP,PAU,G-mean,0.9490173948992254
poker-8-9_vs_6,1,CART,RBO,Precision,0.07142857142857142
poker-8-9_vs_6,1,CART,RBO,Recall,0.08333333333333333
poker-8-9_vs_6,1,CART,RBO,AUC,0.5327625570776255
poker-8-9_vs_6,1,CART,RBO,G-mean,0.2860931929782552
poker-8-9_vs_6,1,KNN,RBO,Precision,0.5833333333333334
poker-8-9_vs_6,1,KNN,RBO,Recall,0.5833333333333334
poker-8-9_vs_6,1,KNN,RBO,AUC,0.7882420091324202
poker-8-9_vs_6,1,KNN,RBO,G-mean,0.7611424962143285
poker-8-9_vs_6,1,SVM,RBO,Precision,0.6
poker-8-9_vs_6,1,SVM,RBO,Recall,0.5
poker-8-9_vs_6,1,SVM,RBO,AUC,0.7472602739726029
